"imageWrapperWrapper src","currency","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/revival-black-tea-loose-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100510&q=best&v=1&m=400&webp=1","৳","120","Revival Black Tea Loose","200 gm"
"https://chaldn.com/_mpimage/nestle-nescafe-gold-instant-coffee-jar-190-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100907&q=best&v=1&m=400&webp=1","৳","1600","Nestle Nescafe Gold Instant Coffee Jar","190 gm"
"https://chaldn.com/_mpimage/kazi-kazi-organic-orthodox-black-tea-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108230&q=best&v=1&m=400&webp=1","৳","190","Kazi & Kazi Organic Orthodox Black Tea","100 gm"
"https://chaldn.com/_mpimage/dr-hh-pure-arjun-tea-bags-40-pcs-80-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D127961&q=best&v=1&m=400&webp=1","৳","190","Dr. H&H Pure Arjun Tea bags 40 pcs","80 gm"
"https://chaldn.com/_mpimage/nestle-coffee-mate-coffee-creamer-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D123152&q=best&v=1&m=400&webp=1","৳","400","Nestle Coffee Mate Coffee Creamer Jar","400 gm"
"https://chaldn.com/_mpimage/tora-bika-creamy-latte-25-gm-6-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D137191&q=best&v=1&m=400&webp=1","৳","300","Tora Bika Creamy Latte 25 gm","6 pcs"
"https://chaldn.com/_mpimage/dilmah-ginger-honey-black-tea-30-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D106758&q=best&v=1&m=400&webp=1","৳","405","Dilmah Ginger & Honey Black Tea","30 gm"
"https://chaldn.com/_mpimage/revival-ginger-honey-tea-30-sachets-45-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D100509&q=best&v=1&m=400&m=400&webp=1","৳","150","Revival Ginger & Honey Tea (30 Sachets)","45 gm"
"https://chaldn.com/_mpimage/kazikazi-organic-tea-turmeric-infusion-40-pcs-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108235&q=best&v=1&m=400&webp=1","৳","295","Kazi & Kazi Organic Tea Turmeric Infusion 40 pcs","60 gm"
"https://chaldn.com/_mpimage/lipton-green-tea-pure-and-light-50-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93650&q=best&v=1&m=400&m=400&webp=1","৳","280","Lipton Green Tea Pure And Light","50 pcs"
