"imageWrapperWrapper src","currency","price","nameTextWithEllipsis","subText","deliveryTimeText"
"https://chaldn.com/_mpimage/vision-electric-kettle-vis-ek-005-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185373&q=best&v=1&m=400&m=400&webp=1","৳","1000","Vision Electric Kettle (VIS-EK-005)","1.8 ltr","1 hr"
"https://chaldn.com/_mpimage/vision-electric-kettle-vis-ek-008-15-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185374&q=best&v=1&m=400&m=400&webp=1","৳","900","Vision Electric Kettle (VIS-EK-008)","1.5 ltr","1 hr"
"https://chaldn.com/_mpimage/vision-electric-kettle-glass-vis-ek-018-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185379&q=best&v=1&m=400&webp=1","৳","1450","Vision Electric Kettle Glass (VIS-EK-018)","1.8 ltr","1 hr"
"https://chaldn.com/_mpimage/vision-blender-vis-sbl-005-ss-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185378&q=best&v=1&m=400&webp=1","৳","3950","Vision Blender (VIS-SBL-005 SS)","each","1 hr"
"https://chaldn.com/_mpimage/vision-electric-kettle-glass-vis-ek-016-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185377&q=best&v=1&m=400&webp=1","৳","1500","Vision Electric Kettle Glass (VIS-EK-016)","1.8 ltr","1 hr"
"https://chaldn.com/_mpimage/vision-electric-kettle-heavy-duty-vis-ek-017-5-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185376&q=best&v=1&m=400&m=400&webp=1","৳","2500","Vision Electric Kettle Heavy Duty (VIS-EK-017)","5 ltr","1 hr"
"https://chaldn.com/_mpimage/rfl-topper-nonstick-marble-coated-fry-pan-with-lid-26-cm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185168&q=best&v=1&m=400&m=400&webp=1","৳","1450","RFL Topper Nonstick Marble Coated Fry Pan With Lid 26 cm","","1 hr"
"https://chaldn.com/_mpimage/rfl-topper-nonstick-glamour-fry-pan-with-lid-ash-28-cm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185170&q=best&v=1&m=400&webp=1","৳","1540","RFL Topper Nonstick Glamour Fry Pan With Lid (Ash) 28 cm","","1 hr"
"https://chaldn.com/_mpimage/rfl-topper-nonstick-marble-coated-karai-with-lid-22-cm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185169&q=best&v=1&m=400&webp=1","৳","1300","RFL Topper Nonstick Marble Coated Karai With Lid 22 cm","","1 hr"
"https://chaldn.com/_mpimage/rfl-topper-nonstick-marble-coated-fry-pan-with-lid-ib-22-cm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185167&q=best&v=1&m=400&webp=1","৳","1250","RFL Topper Nonstick Marble Coated Fry Pan With Lid IB 22 cm","","1 hr"
"https://chaldn.com/_mpimage/rfl-topper-nonstick-marble-coated-fry-pan-with-lid-24-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185166&q=best&v=1&m=400&webp=1","৳","1300","RFL Topper Nonstick Marble Coated Fry Pan With Lid 24 cm","each","1 hr"
"https://chaldn.com/_mpimage/rfl-topper-nonstick-glamour-dosa-tawa-ib-ash-26-cm-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185165&q=best&v=1&m=400&webp=1","৳","1100","RFL Topper Nonstick Glamour Dosa Tawa IB (Ash) 26 cm","each","1 hr"
"https://chaldn.com/_mpimage/rfl-vision-classic-3-in-1-blender-16-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D113270&q=best&v=1&m=400&m=400&webp=1","৳","2500","RFL Vision Classic 3 In 1 Blender","1.6 ltr","1 hr"
"https://chaldn.com/_mpimage/inima-coffee-foamer-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186276&q=best&v=1&m=400&webp=1","৳","750","Inima Coffee Foamer","each","Next Day"
"https://chaldn.com/_mpimage/samurai-yogurt-maker-pink-sym001-1-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186275&q=best&v=1&m=400&webp=1","৳","550","Samurai Yogurt Maker Pink (SYM001)","1 ltr","Next Day"
"https://chaldn.com/_mpimage/samurai-multi-functional-electric-cooker-pink-all-plastic-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186274&q=best&v=1&m=400&webp=1","৳","1400","Samurai Multi Functional Electric Cooker Pink (All Plastic)","1.8 ltr","Next Day"
"https://chaldn.com/_mpimage/samurai-multi-functional-electric-cooker-teal-all-plastic-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186273&q=best&v=1&m=400&webp=1","৳","1400","Samurai Multi Functional Electric Cooker Teal (All Plastic)","1.8 ltr","Next Day"
"https://chaldn.com/_mpimage/fuji-grinder-blue-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186270&q=best&v=1&m=400&webp=1","৳","950","Fuji Grinder Blue","each","Next Day"
"https://chaldn.com/_mpimage/fuji-grinder-red-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186269&q=best&v=1&m=400&webp=1","৳","950","Fuji Grinder Red","each","Next Day"
"https://chaldn.com/_mpimage/samurai-mosquito-bat-white-rechargeable-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186268&q=best&v=1&m=400&webp=1","৳","750","Samurai Mosquito Bat White (Rechargeable)","each","Next Day"
"https://chaldn.com/_mpimage/samurai-yogurt-maker-pink-sym002-15-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186266&q=best&v=1&m=400&webp=1","৳","900","Samurai Yogurt Maker Pink (SYM002)","1.5 ltr","Next Day"
"https://chaldn.com/_mpimage/samurai-big-multi-chopper-blue-smc002-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186265&q=best&v=1&m=400&webp=1","৳","1200","Samurai Big Multi Chopper Blue (SMC002)","each","Next Day"
"https://chaldn.com/_mpimage/samurai-big-multi-chopper-red-smc002-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186264&q=best&v=1&m=400&webp=1","৳","1200","Samurai Big Multi Chopper Red (SMC002)","each","Next Day"
"https://chaldn.com/_mpimage/samurai-multi-chopper-red-smc001-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186262&q=best&v=1&m=400&webp=1","৳","950","Samurai Multi Chopper Red (SMC001)","each","Next Day"
"https://chaldn.com/_mpimage/samurai-multi-chopper-pink-smc001-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186260&q=best&v=1&m=400&webp=1","৳","950","Samurai Multi Chopper Pink (SMC001)","each","Next Day"
"https://chaldn.com/_mpimage/samurai-multi-functional-electric-cooker-momo-bowl-yellow-28-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186256&q=best&v=1&m=400&webp=1","৳","1800","Samurai Multi Functional Electric Cooker Momo Bowl (Yellow)","2.8 ltr","Next Day"
"https://chaldn.com/_mpimage/samurai-multi-functional-electric-cooker-momo-bowl-sky-blue-28-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186255&q=best&v=1&m=400&webp=1","৳","1800","Samurai Multi Functional Electric Cooker Momo Bowl (Sky blue)","2.8 ltr","Next Day"
"https://chaldn.com/_mpimage/samurai-multi-functional-electric-cooker-momo-bowl-pink-18-ltr?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D186254&q=best&v=1&m=400&webp=1","৳","1600","Samurai Multi Functional Electric Cooker Momo Bowl (Pink)","1.8 ltr","Next Day"
"","","","","",""
