"imageWrapperWrapper src","productV2discountedPrice","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/aarong-natural-kalijira-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122765&q=best&v=1&m=400&m=400&webp=1","","770","Aarong Natural Kalijira Rice","5 kg"
"https://chaldn.com/_mpimage/zirashail-rice-boiled-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D138415&q=best&v=1&m=400&webp=1","359","419","Zirashail Rice (Boiled) ± 50 gm","5 kg"
"https://chaldn.com/_mpimage/chinigura-rice-premium-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48071&q=best&v=1&m=400&webp=1","139","149","Chinigura Rice Premium","1 kg"
"https://chaldn.com/_mpimage/aci-aroma-premium-basmati-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177124&q=best&v=1&m=400&webp=1","","480","ACI Aroma Premium Basmati Rice","1 kg"
"https://chaldn.com/_mpimage/mehran-basmati-kernel-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D124719&q=best&v=1&m=400&webp=1","","595","Mehran Basmati Kernel Rice","1 kg"
"https://chaldn.com/_mpimage/aarong-natural-kalijira-rice-2-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122764&q=best&v=1&m=400&webp=1","","312","Aarong Natural Kalijira Rice","2 kg"
"https://chaldn.com/_mpimage/miniket-atop-rice-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D87866&q=best&v=1&m=400&webp=1","","399","Miniket Atop Rice ± 50 gm","5 kg"
"https://chaldn.com/_mpimage/pizam-atop-rice-50-gm-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D74583&q=best&v=1&m=400&webp=1","379","399","Pizam Atop Rice ± 50 gm","5 kg"
"https://chaldn.com/_mpimage/kishwan-aromatic-rice-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D109916&q=best&v=1&m=400&webp=1","","155","Kishwan Aromatic Rice","1 kg"
"https://chaldn.com/_mpimage/aarong-natural-miniket-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122767&q=best&v=1&m=400&m=400&webp=1","","500","Aarong Natural Miniket Rice","5 kg"
"https://chaldn.com/_mpimage/aarong-natural-banglamoti-rice-5-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D122761&q=best&v=1&m=400&webp=1","","583","Aarong Natural Banglamoti Rice","5 kg"
"https://chaldn.com/_mpimage/aci-pure-miniket-rice-premium-10-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D177231&q=best&v=1&m=400&webp=1","","950","ACI Pure Miniket Rice Premium","10 kg"
