"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","productV2discountedPrice"
"https://chaldn.com/_mpimage/star-flower-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D185008&q=best&v=1&m=400&webp=1","159","Star Flower","50 gm","129"
"https://chaldn.com/_mpimage/fennel-mouri-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48365&q=best&v=1&m=400&webp=1","55","Fennel (Mouri)","100 gm","39"
"https://chaldn.com/_mpimage/farmers-gold-cumin-jira-powder-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D98369&q=best&v=1&m=400&webp=1","220","Farmer's Gold Cumin (Jira) Powder","100 gm",""
"https://chaldn.com/_mpimage/alu-bukhara-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D48343&q=best&v=1&m=400&webp=1","89","Alu Bukhara","100 gm","85"
"https://chaldn.com/_mpimage/kabab-chini-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184964&q=best&v=1&m=400&webp=1","199","Kabab Chini","50 gm","179"
"https://chaldn.com/_mpimage/radhuni-turmeric-holud-powder-jar-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132556&q=best&v=1&m=400&webp=1","160","Radhuni Turmeric (Holud) Powder Jar","200 gm",""
"https://chaldn.com/_mpimage/radhuni-seeds-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D80140&q=best&v=1&m=400&webp=1","65","Radhuni Seeds","100 gm",""
"https://chaldn.com/_mpimage/pran-coriander-dhonia-powder-jar-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111319&q=best&v=1&m=400&webp=1","125","Pran Coriander (Dhonia) Powder Jar","200 gm","119"
"https://chaldn.com/_mpimage/white-pepper-whole-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184757&q=best&v=1&m=400&webp=1","149","White Pepper Whole","50 gm","129"
"https://chaldn.com/_mpimage/radhuni-chilli-morich-powder-jar-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132512&q=best&v=1&m=400&webp=1","160","Radhuni Chilli (Morich) Powder Jar","200 gm",""
"https://chaldn.com/_mpimage/black-cumin-kalo-jira-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D67826&q=best&v=1&m=400&webp=1","65","Black Cumin (Kalo Jira)","100 gm","55"
"https://chaldn.com/_mpimage/poppy-seed-posto-dana-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132211&q=best&v=1&m=400&webp=1","199","Poppy Seed (Posto Dana)","50 gm",""
"https://chaldn.com/_mpimage/black-cardamom-kalo-elachi-whole-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D50292&q=best&v=1&m=400&webp=1","205","Black Cardamom (Kalo Elachi) Whole","50 gm","189"
"https://chaldn.com/_mpimage/fresh-turmeric-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D135109&q=best&v=1&m=400&webp=1","145","Fresh Turmeric Powder","200 gm","125"
"https://chaldn.com/_mpimage/imperial-cumin-shahi-jira-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129472&q=best&v=1&m=400&webp=1","129","Imperial Cumin (Shahi Jira)","50 gm",""
"https://chaldn.com/_mpimage/betel-nut-shupari-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D46972&q=best&v=1&m=400&webp=1","189","Betel Nut (Shupari)","250 gm",""
"https://chaldn.com/_mpimage/radhuni-chilli-morich-powder-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132511&q=best&v=1&m=400&webp=1","345","Radhuni Chilli (Morich) Powder","500 gm",""
"https://chaldn.com/_mpimage/ahmed-biryani-masala-40-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D87868&q=best&v=1&m=400&webp=1","60","Ahmed Biryani Masala","40 gm",""
"https://chaldn.com/_mpimage/mustard-seed-red-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D115243&q=best&v=1&m=400&webp=1","30","Mustard Seed (Red)","100 gm","25"
"https://chaldn.com/_mpimage/radhuni-chilli-morich-powder-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132508&q=best&v=1&m=400&webp=1","38","Radhuni Chilli (Morich) Powder","50 gm",""
"https://chaldn.com/_mpimage/radhuni-garam-masala-15-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132528&q=best&v=1&m=400&webp=1","35","Radhuni Garam Masala","15 gm",""
"https://chaldn.com/_mpimage/radhuni-cumin-jira-powder-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132522&q=best&v=1&m=400&webp=1","85","Radhuni Cumin (Jira) Powder","50 gm",""
"https://chaldn.com/_mpimage/nutmeg-jayfal-whole-5-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D103098&q=best&v=1&m=400&webp=1","55","Nutmeg (Jayfal) Whole","5 pcs",""
"https://chaldn.com/_mpimage/black-pepper-gol-morich-whole-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184756&q=best&v=1&m=400&webp=1","169","Black Pepper (Gol Morich) Whole","100 gm","149"
"https://chaldn.com/_mpimage/mustard-seed-yellow-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130992&q=best&v=1&m=400&webp=1","25","Mustard Seed (Yellow)","100 gm",""
"https://chaldn.com/_mpimage/radhuni-coriander-dhonia-powder-jar-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54023&q=best&v=1&m=400&webp=1","125","Radhuni Coriander (Dhonia) Powder Jar","200 gm",""
"https://chaldn.com/_mpimage/radhuni-panch-phoran-50-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132545&q=best&v=1&m=400&webp=1","30","Radhuni Panch Phoran","50 gm",""
"https://chaldn.com/_mpimage/radhuni-chilli-morich-powder-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132510&q=best&v=1&m=400&webp=1","140","Radhuni Chilli (Morich) Powder","200 gm",""
