"imageWrapperWrapper src","price","nameTextWithEllipsis","subText","deliveryTimeText","productV2discountedPrice","currency 2"
"https://chaldn.com/_mpimage/tong-garden-salted-peanuts-can-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136479&q=best&v=1&m=400&webp=1","695","Tong Garden Salted Peanuts Can","150 gm","1 hr","",""
"https://chaldn.com/_mpimage/walnuts-akhrot-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184610&q=best&v=1&m=400&webp=1","199","Walnuts (Akhrot)","100 gm","1 hr","179","৳"
"https://chaldn.com/_mpimage/kazi-kazi-organic-green-tea-40-pcs-60-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D108206&q=best&v=1&m=400&webp=1","215","Kazi & Kazi Organic Green Tea 40 pcs","60 gm","1 hr","",""
"https://chaldn.com/_mpimage/aarong-dairy-austagram-cheese-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47612&q=best&v=1&m=400&webp=1","190","Aarong Dairy Austagram Cheese","200 gm","1 hr","",""
"https://chaldn.com/_mpimage/bpm-white-till-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D52502&q=best&v=1&m=400&m=400&webp=1","90","BPM White Till","200 gm","1 hr","",""
"https://chaldn.com/_mpimage/purnava-omega-3-enriched-eggs-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132429&q=best&v=1&m=400&webp=1","280","Purnava Omega 3 Enriched Eggs","12 pcs","1 hr","",""
"https://chaldn.com/_mpimage/bests-mushroom-choice-whole-tin-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D125750&q=best&v=1&m=400&webp=1","182","Best's Mushroom Choice Whole Tin","425 gm","1 hr","",""
"https://chaldn.com/_mpimage/hibiscus-mushrooms-choice-whole-can-425-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D129220&q=best&v=1&m=400&webp=1","349","Hibiscus Mushrooms Choice Whole Can","425 gm","1 hr","",""
"https://chaldn.com/_mpimage/mozzarella-cheese-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D47623&q=best&v=1&m=400&webp=1","270","Mozzarella Cheese","250 gm","1 hr","",""
"https://chaldn.com/_mpimage/quail-eggs-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D79220&q=best&v=1&m=400&webp=1","89","Quail Eggs","20 pcs","1 hr","85","৳"
"https://chaldn.com/_mpimage/aarong-dairy-sour-curd-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D77433&q=best&v=1&m=400&webp=1","120","Aarong Dairy Sour Curd","500 gm","1 hr","",""
"https://chaldn.com/_mpimage/purnava-vitamin-e-eggs-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D132430&q=best&v=1&m=400&webp=1","220","Purnava Vitamin E Eggs","12 pcs","1 hr","",""
"https://chaldn.com/_mpimage/white-sesame-seed-til-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184017&q=best&v=1&m=400&webp=1","55","White Sesame Seed (Til)","100 gm","1 hr","45","৳"
"https://chaldn.com/_mpimage/peanut-peeled-vaja-cheena-badam-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184613&q=best&v=1&m=400&webp=1","45","Peanut Peeled (Vaja Cheena Badam)","100 gm","1 hr","35","৳"
"https://chaldn.com/_mpimage/koral-fish-after-cutting-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D175500&q=best&v=1&m=400&webp=1","919","Koral Fish After Cutting ± 50 gm","1 kg","1 hr","839","৳"
"https://chaldn.com/_mpimage/aarong-dairy-pure-ghee-900-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D179309&q=best&v=1&m=400&webp=1","1735","Aarong Dairy Pure Ghee","900 gm","1 hr","",""
"https://chaldn.com/_mpimage/cashew-nut-kaju-badam-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D184612&q=best&v=1&m=400&webp=1","199","Cashew Nut (Kaju Badam)","100 gm","1 hr","179","৳"
"https://chaldn.com/_mpimage/brooke-bond-taaza-black-tea-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D162455&q=best&v=1&m=400&webp=1","250","Brooke Bond Taaza Black Tea","400 gm","1 hr","",""
"https://chaldn.com/_mpimage/lomba-lebu-long-lemon-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64362&q=low&v=1&m=400&webp=1","50","Lomba Lebu (Long Lemon)","4 pcs","1 hr","45","৳"
"https://chaldn.com/_mpimage/welcome-light-meat-tuna-in-sunflower-oil-flake-170-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D60408&q=low&v=1&m=400&m=400&webp=1","190","Welcome Light Meat Tuna In Sunflower Oil (Flake)","170 gm","1 hr","",""
"https://chaldn.com/_mpimage/nut-candy-wasabi-coated-green-peas-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D131468&q=best&v=1&m=400&webp=1","550","Nut Candy Wasabi Coated Green Peas","180 gm","1 hr","",""
"https://chaldn.com/_mpimage/twinings-green-tea-lemon-25-tea-bags-1-pack?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D136601&q=best&v=1&m=400&webp=1","850","Twinings Green Tea & Lemon 25 Tea bags","each","1 hr","",""
