"imageWrapperWrapper src","productV2discountedPrice","price","nameTextWithEllipsis","subText"
"https://chaldn.com/_mpimage/lal-peyaj-onion-red-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163935&q=best&v=1&m=400&webp=1","","79","Lal Peyaj (Onion Red) ± 50 gm","1 kg"
"https://chaldn.com/_mpimage/paan-betel-leaf-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D40757&q=best&v=1&m=400&webp=1","39","45","Paan (Betel Leaf)","20 pcs"
"https://chaldn.com/_mpimage/banana-stem-kolar-thor-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89314&q=best&v=1&m=400&webp=1","","35","Banana Stem (Kolar Thor)","each"
"https://chaldn.com/_mpimage/lal-alu-red-potato-cardinal-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D76922&q=low&v=1&m=400&webp=1","","35","Lal Alu (Red Potato Cardinal) ± 50 gm","1 kg"
"https://chaldn.com/_mpimage/lal-peyaj-onion-red-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163944&q=best&v=1&m=400&webp=1","","45","Lal Peyaj (Onion Red) ± 25 gm","500 gm"
"https://chaldn.com/_mpimage/red-tomato-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64361&q=best&v=1&m=400&webp=1","45","50","Red Tomato ± 25 gm","500 gm"
"https://chaldn.com/_mpimage/kacha-kola-banana-green-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D183804&q=low&v=1&m=400&webp=1","45","65","Kacha Kola (Banana Green)","4 pcs"
"https://chaldn.com/_mpimage/long-coriander-leaves-bilati-dhonia-pata-10-gm-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D139147&q=best&v=1&m=400&webp=1","","35","Long Coriander Leaves (Bilati Dhonia Pata) ± 10 gm","100 gm"
"https://chaldn.com/_mpimage/ada-imported-ginger-25-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163146&q=best&v=1&m=400&webp=1","","55","Ada (Imported Ginger) ± 25 gm","250 gm"
"https://chaldn.com/_mpimage/deshi-gajor-local-carrot-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64363&q=best&v=1&m=400&webp=1","","29","Deshi Gajor (Local Carrot) ± 25 gm","500 gm"
"https://chaldn.com/_mpimage/lomba-lebu-long-lemon-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64362&q=low&v=1&m=400&webp=1","45","50","Lomba Lebu (Long Lemon)","4 pcs"
"https://chaldn.com/_mpimage/kagozi-lebu-kagozi-lemon-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D43758&q=low&v=1&m=400&webp=1","","59","Kagozi Lebu (Kagozi Lemon)","4 pcs"
"https://chaldn.com/_mpimage/lal-alu-red-potato-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D93643&q=best&v=1&m=400&webp=1","25","30","Lal Alu (Red Potato) ± 25 gm","500 gm"
"https://chaldn.com/_mpimage/bombay-chilli-5-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D120812&q=best&v=1&m=400&webp=1","","45","Bombay Chilli","5 pcs"
"https://chaldn.com/_mpimage/ol-kochu-elephant-foot-yam-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D89270&q=best&v=1&m=400&m=400&webp=1","","55","Ol Kochu (Elephant Foot Yam) ± 25 gm","500 gm"
"https://chaldn.com/_mpimage/gol-lebu-round-lemon-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D54834&q=low&v=1&m=400&webp=1","45","50","Gol Lebu (Round Lemon)","4 pcs"
"https://chaldn.com/_mpimage/deshi-roshun-garlic-local-25-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163983&q=best&v=1&m=400&webp=1","","35","Deshi Roshun (Garlic Local) ±25 gm","250 gm"
"https://chaldn.com/_mpimage/kacha-pepe-green-papaya-70-gm-14-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D69930&q=low&v=1&m=400&webp=1","55","69","Kacha Pepe (Green Papaya) ± 70 gm","1.4 kg"
"https://chaldn.com/_mpimage/shosha-cucumber-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64357&q=best&v=1&m=400&webp=1","","55","Shosha (Cucumber) ± 25 gm","500 gm"
"https://chaldn.com/_mpimage/lomba-kochu-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D130323&q=best&v=1&m=400&webp=1","","99","Lomba Kochu","each"
"https://chaldn.com/_mpimage/kolmi-shak-water-spinach-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28561&q=low&v=1&m=400&webp=1","15","25","Kolmi Shak (Water Spinach)","1 bundle"
"https://chaldn.com/_mpimage/kacha-morich-green-chilli-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28576&q=low&v=1&m=400&webp=1","","39","Kacha Morich (Green Chilli) ±12 gm","250 gm"
"https://chaldn.com/_mpimage/lau-shak-sweet-bitter-melon-leaves-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D64499&q=low&v=1&m=400&webp=1","","49","Lau Shak (Sweet Bitter Melon Leaves)","1 bundle"
"https://chaldn.com/_mpimage/borboti-long-bean-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D22410&q=low&v=1&m=400&webp=1","69","80","Borboti (Long Bean) ± 25 gm","500 gm"
"https://chaldn.com/_mpimage/ada-imported-ginger-25-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D163275&q=low&v=1&m=400&webp=1","99","109","Ada (Imported Ginger) ± 25 gm","500 gm"
"https://chaldn.com/_mpimage/data-shak-data-spinach-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D30176&q=low&v=1&m=400&webp=1","25","29","Data Shak (Data Spinach)","1 bundle"
"https://chaldn.com/_mpimage/palong-shak-palong-spinach-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28579&q=low&v=1&m=400&webp=1","","19","Palong Shak (Palong Spinach)","1 bundle"
"https://chaldn.com/_mpimage/coriander-leaves-dhonia-pata-10-gm-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28562&q=low&v=1&m=400&webp=1","9","15","Coriander Leaves (Dhonia Pata) ± 10 gm","100 gm"
"","","","",""
"https://chaldn.com/_mpimage/lemon-grass-stalk-12-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D140775&q=best&v=1&m=400&webp=1","65","139","Lemon Grass Stalk ± 12 gm","250 gm"
"https://chaldn.com/_mpimage/palong-shak-palong-spinach-1-bundle?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28579&q=low&v=1&m=400&webp=1","","","Palong Shak (Palong Spinach)","1 bundle"
